x,y,model,repetition,subsample,train_dataset,eval_dataset
0.0,0.22241103558576564,sofa  ,0,3,aumc,aumc
0.0,0.22469641827156206,sofa  ,0,4,aumc,aumc
0.0,0.22881266351312066,sofa  ,0,5,aumc,aumc
0.0,0.2323592554652252,sofa  ,0,6,aumc,aumc
0.0,0.22568236553385065,sofa  ,0,7,aumc,aumc
0.0,0.22479075227110334,sofa  ,0,8,aumc,aumc
0.0,0.2196398731371278,sofa  ,0,9,aumc,aumc
0.0,0.22079729962795963,sofa  ,1,0,aumc,aumc
0.0,0.228820417878868,sofa  ,1,1,aumc,aumc
0.0,0.2245914341350026,sofa  ,1,2,aumc,aumc
0.0,0.22241103558576564,sofa  ,1,3,aumc,aumc
0.0,0.22469641827156206,sofa  ,1,4,aumc,aumc
0.0,0.22881266351312066,sofa  ,1,5,aumc,aumc
0.0,0.2323592554652252,sofa  ,1,6,aumc,aumc
0.0,0.22568236553385065,sofa  ,1,7,aumc,aumc
0.0,0.22479075227110334,sofa  ,1,8,aumc,aumc
0.0,0.2196398731371278,sofa  ,1,9,aumc,aumc
0.0,0.22079729962795963,sofa  ,2,0,aumc,aumc
0.0,0.228820417878868,sofa  ,2,1,aumc,aumc
0.0,0.2245914341350026,sofa  ,2,2,aumc,aumc
0.0,0.22241103558576564,sofa  ,2,3,aumc,aumc
0.0,0.22469641827156206,sofa  ,2,4,aumc,aumc
0.0,0.22881266351312066,sofa  ,2,5,aumc,aumc
0.0,0.2323592554652252,sofa  ,2,6,aumc,aumc
0.0,0.22568236553385065,sofa  ,2,7,aumc,aumc
0.0,0.22479075227110334,sofa  ,2,8,aumc,aumc
0.0,0.2196398731371278,sofa  ,2,9,aumc,aumc
0.0,0.22079729962795963,sofa  ,3,0,aumc,aumc
0.0,0.228820417878868,sofa  ,3,1,aumc,aumc
0.0,0.2245914341350026,sofa  ,3,2,aumc,aumc
0.0,0.22241103558576564,sofa  ,3,3,aumc,aumc
0.0,0.22469641827156206,sofa  ,3,4,aumc,aumc
0.0,0.22881266351312066,sofa  ,3,5,aumc,aumc
0.0,0.2323592554652252,sofa  ,3,6,aumc,aumc
0.0,0.22568236553385065,sofa  ,3,7,aumc,aumc
0.0,0.22479075227110334,sofa  ,3,8,aumc,aumc
0.0,0.2196398731371278,sofa  ,3,9,aumc,aumc
0.0,0.22079729962795963,sofa  ,4,0,aumc,aumc
0.0,0.228820417878868,sofa  ,4,1,aumc,aumc
0.0,0.2245914341350026,sofa  ,4,2,aumc,aumc
0.0,0.22241103558576564,sofa  ,4,3,aumc,aumc
0.0,0.22469641827156206,sofa  ,4,4,aumc,aumc
0.0,0.22881266351312066,sofa  ,4,5,aumc,aumc
0.0,0.2323592554652252,sofa  ,4,6,aumc,aumc
0.0,0.22568236553385065,sofa  ,4,7,aumc,aumc
0.0,0.22479075227110334,sofa  ,4,8,aumc,aumc
0.0,0.2196398731371278,sofa  ,4,9,aumc,aumc
4.5,0.2608127572826232,attn  ,0,0,aumc,eicu
4.5,0.26837055001743904,attn  ,0,1,aumc,eicu
4.5,0.2532959678336279,attn  ,0,2,aumc,eicu
4.5,0.2709023374917635,attn  ,0,3,aumc,eicu
4.5,0.2607451217485173,attn  ,0,4,aumc,eicu
